 ,0.667,2.252,,5,,,
301,0.702,2.335,,6,,,
302,0.663,2.29,,5,,,
303,0.613,2.243,,5,,,
304,0.586,2.195,,5,,,
305,0.54,2.158,,5,,,
306,0.508,2.165,,6,,,
307,0.44,2.078,,5,,,
308,0.443,2.066,,5,,,
309,0.403,2.088,,6,,,
310,0.387,2.066,,6,,,
311,0.389,2.105,,7,,,
312,0.358,2.098,,7,,,
313,0.351,2.113,,6,,,
314,0.335,2.114,,8,,,
315,0.348,2.153,,7,,,
316,0.326,2.144,,6,,,
317,0.334,2.217,,7,,,
318,0.309,2.252,,7,,,
319,0.321,2.242,,8,,,
320,0.317,2.393,,9,,,
321,0.294,2.349,,8,,,
322,0.306,2.385,,10,,,
323,0.289,2.412,,9,,,
324,0.289,2.411,,9,,,
325,0.27,2.556,,8,,,
326,0.281,2.578,,9,,,
327,0.275,2.531,,10,,,
328,0.272,2.732,,9,,,
329,0.251,2.582,,10,,,
330,0.264,2.678,,10,,,
331,0.249,2.729,,11,,,
332,0.236,2.768,,11,,,
333,0.249,2.934,,11,,,
334,0.23,2.723,,11,,,
335,0.226,2.64,,12,,,
336,0.223,2.726,,11,,,
337,0.227,2.718,,12,,,
338,0.223,2.692,,12,,,
339,0.224,2.789,,14,,,
340,0.198,2.672,,12,,,
341,0.21,2.645,,14,,,
342,0.19,2.547,,15,,,
343,0.188,2.576,,14,,,
344,0.198,2.629,,14,,,
345,0.197,2.509,,14,,,
346,0.197,2.481,,15,,,
347,0.178,2.477,,15,,,
348,0.191,2.404,,17,,,
349,0.187,2.461,,18,,,
350,0.187,2.391,,18,,,
351,0.183,2.339,,17,,,
352,0.188,2.266,,18,,,
353,0.168,2.212,,20,,,
354,0.165,2.137,,20,,,
355,0.181,2.118,,20,,,
356,0.212,2.048,,21,,,
357,0.182,2.011,,22,,,
358,0.166,1.926,,23,,,
359,0.18,1.914,,23,,,
360,0.176,1.829,,25,,,
361,0.179,1.803,,25,,,
362,0.157,1.718,,26,,,
363,0.171,1.694,,27,,,
364,0.16,1.651,,28,,,
365,0.151,1.603,,30,,,
366,0.166,1.544,,31,,,
367,0.152,1.508,,31,,,
368,0.152,1.483,,34,,,
369,0.149,1.444,,36,,,
370,0.16,1.426,,38,,,
371,0.146,1.378,,40,,,
372,0.161,1.321,,43,,,
373,0.141,1.29,,42,,,
374,0.152,1.203,,47,,,
375,0.151,1.2,,49,,,
376,0.139,1.11,,52,,,
377,0.133,1.111,,56,,,
378,0.15,1.053,,60,,,
379,0.15,1.044,,61,,,
380,0.167,1.015,,68,,,
381,0.167,0.99,,73,,,
382,0.162,0.968,,79,,,
383,0.167,0.926,,85,,,
384,0.157,0.892,,86,,,
385,0.174,0.858,,89,,,
386,0.165,0.838,,103,,,
387,0.158,0.801,,115,,,
388,0.163,0.799,,123,,,
389,0.159,0.762,,134,,,
390,0.169,0.746,,146,,,
391,0.148,0.702,,159,,,
392,0.176,0.701,,172,,,
393,0.152,0.681,,193,,,
394,0.169,0.666,,211,,,
395,0.162,0.633,,237,,,
396,0.166,0.609,,244,,,
397,0.176,0.6,,303,,,
398,0.157,0.575,,335,,,
399,0.153,0.57,,382,,,
400,0.149,0.53,,419,,,
401,0.152,0.517,,467,,,
402,0.14,0.502,,481,,,
403,0.144,0.487,,540,,,
404,0.151,0.474,,580,,,
405,0.137,0.458,,564,,,
406,0.162,0.461,,675,,,
407,0.139,0.442,,738,,,
408,0.15,0.449,,701,,,
409,0.135,0.415,,780,,,
410,0.159,0.419,,757,,,
411,0.166,0.43,,740,,,
412,0.141,0.395,,739,,,
413,0.141,0.407,,710,,,
414,0.142,0.378,,691,,,
415,0.14,0.384,,672,,,
416,0.144,0.388,,567,,,
417,0.138,0.377,,631,,,
418,0.16,0.368,,556,,,
419,0.167,0.361,,590,,,
420,0.143,0.338,,566,,,
421,0.175,0.335,,512,,,
422,0.158,0.347,,485,,,
423,0.146,0.329,,466,,,
424,0.164,0.336,,509,,,
425,0.147,0.313,,487,,,
426,0.163,0.306,,457,,,
427,0.145,0.306,,431,,,
428,0.169,0.322,,421,,,
429,0.164,0.298,,398,,,
430,0.163,0.307,,383,,,
431,0.168,0.287,,366,,,
432,0.163,0.282,,351,,,
433,0.145,0.3,,335,,,
434,0.147,0.272,,323,,,
435,0.166,0.282,,314,,,
436,0.143,0.259,,305,,,
437,0.162,0.277,,299,,,
438,0.148,0.249,,297,,,
439,0.162,0.274,,288,,,
440,0.141,0.241,,282,,,
441,0.171,0.268,,272,,,
442,0.153,0.244,,280,,,
443,0.165,0.24,,278,,,
444,0.169,0.238,,273,,,
445,0.139,0.232,,283,,,
446,0.164,0.256,,276,,,
447,0.138,0.277,,273,,,
448,0.162,0.256,,287,,,
449,0.145,0.227,,285,,,
450,0.137,0.242,,287,,,
451,0.143,0.229,,295,,,
452,0.158,0.244,,302,,,
453,0.141,0.223,,307,,,
454,0.164,0.228,,315,,,
455,0.154,0.233,,317,,,
456,0.142,0.231,,310,,,
457,0.161,0.24,,344,,,
458,0.134,0.227,,322,,,
459,0.163,0.243,,315,,,
460,0.147,0.223,,346,,,
461,0.159,0.242,,350,,,
462,0.14,0.235,,347,,,
463,0.155,0.233,,345,,,
464,0.163,0.22,,349,,,
465,0.157,0.219,,346,,,
466,0.141,0.239,,336,,,
467,0.138,0.224,,339,,,
468,0.149,0.234,,335,,,
469,0.142,0.223,,323,,,
470,0.138,0.239,,323,,,
471,0.134,0.217,,312,,,
472,0.159,0.247,,302,,,
473,0.127,0.22,,277,,,
474,0.142,0.242,,277,,,
475,0.13,0.225,,260,,,
476,0.153,0.227,,244,,,
477,0.166,0.247,,239,,,
478,0.137,0.225,,224,,,
479,0.158,0.256,,207,,,
480,0.14,0.242,,191,,,
481,0.158,0.258,,173,,,
482,0.138,0.244,,162,,,
483,0.146,0.263,,149,,,
484,0.173,0.27,,135,,,
485,0.157,0.261,,121,,,
486,0.145,0.278,,109,,,
487,0.168,0.252,,100,,,
488,0.149,0.26,,91,,,
489,0.144,0.264,,83,,,
490,0.158,0.28,,77,,,
491,0.134,0.26,,71,,,
492,0.144,0.284,,67,,,
493,0.135,0.262,,63,,,
494,0.156,0.287,,61,,,
495,0.139,0.266,,57,,,
496,0.15,0.283,,55,,,
497,0.132,0.287,,53,,,
498,0.147,0.274,,49,,,
499,0.151,0.292,,47,,,
500,0.133,0.283,,46,,,
501,0.138,0.29,,48,,,
502,0.134,0.281,,45,,,
503,0.145,0.308,,43,,,
504,0.125,0.286,,44,,,
505,0.125,0.312,,42,,,
506,0.14,0.294,,42,,,
507,0.143,0.323,,43,,,
508,0.127,0.327,,42,,,
509,0.141,0.309,,42,,,
510,0.141,0.323,,44,,,
511,0.116,0.315,,44,,,
512,0.142,0.326,,46,,,
513,0.12,0.334,,47,,,
514,0.146,0.349,,48,,,
515,0.125,0.343,,50,,,
516,0.134,0.347,,52,,,
517,0.129,0.355,,54,,,
518,0.145,0.379,,59,,,
519,0.127,0.382,,64,,,
520,0.15,0.38,,68,,,
521,0.133,0.398,,73,,,
522,0.131,0.39,,79,,,
523,0.151,0.411,,83,,,
524,0.122,0.391,,87,,,
525,0.16,0.429,,88,,,
526,0.122,0.418,,89,,,
527,0.143,0.438,,88,,,
528,0.121,0.429,,85,,,
529,0.144,0.455,,83,,,
530,0.138,0.475,,79,,,
531,0.151,0.46,,74,,,
532,0.15,0.487,,70,,,
533,0.148,0.481,,65,,,
